Incorrect,Actual,Noisy_Channel,Spell_Checker,Noisy_Correct,Spell_Correct
algoritm,algorithm,algorithm,algorithm,True,True
trainned,trained,trained,trained,True,True
ammount,amount,amount,amount,True,True
documants,documents,documents,documents,True,True
acheived,achieved,achieved,achieved,True,True
accurracy,accuracy,accuracy,accuracy,True,True
algorithmm,algorithm,algorithm,algorithm,True,True
algoritms,algorithms,algorithm,algorithms,False,True
languge,language,language,language,True,True
langauge,language,language,language,True,True
procesing,processing,processing,processing,True,True
processng,processing,processing,processing,True,True
machne,machine,machine,machine,True,True
machin,machine,machine,machine,True,True
learnng,learning,learning,learning,True,True
learnin,learning,learning,learning,True,True
speling,spelling,spelling,spelling,True,True
spellling,spelling,spelling,spelling,True,True
corection,correction,correction,correction,True,True
corretion,correction,correction,correction,True,True
probablity,probability,probability,probability,True,True
probabilty,probability,probability,probability,True,True
vocablary,vocabulary,vocabulary,vocabulary,True,True
vocabular,vocabulary,vocabulary,vocabulary,True,True
